is_number,title,domain,standard_type,source_authority,source_type,verification_status,status,embedding_text,source_document,source_url,reviewed_in,amendment_count,certification_status,supersedes,superseded_by,metadata_rule
IS 269:2015,Ordinary Portland cement - Specification,Civil Engineering / Cement,Product Specification,BIS,BIS compendium / BIS programme of work / BIS official capsule-course material,BIS-source identified; verify current Know Your Standard record before production,Active/Current candidate,IS 269:2015 | Ordinary Portland cement - Specification | Civil Engineering / Cement | Product Specification,BIS Compendium of Cement Standards / BIS Civil Engineering material,https://www.bis.gov.in/compendium-of-indian-standards/?lang=en,,,,,,Blank lifecycle/certification fields must be resolved from the current BIS Know Your Standard record before production recommendation.
IS 455:2015,Portland slag cement - Specification,Civil Engineering / Cement,Product Specification,BIS,BIS compendium / BIS programme of work / BIS official capsule-course material,BIS-source identified; verify current Know Your Standard record before production,Active/Current candidate,IS 455:2015 | Portland slag cement - Specification | Civil Engineering / Cement | Product Specification,BIS Compendium of Cement Standards / BIS Civil Engineering material,https://www.bis.gov.in/compendium-of-indian-standards/?lang=en,,,,,,Blank lifecycle/certification fields must be resolved from the current BIS Know Your Standard record before production recommendation.
IS 1489 (Part 1):2015,Portland Pozzolana cement - Specification: Part 1 Flyash based,Civil Engineering / Cement,Product Specification,BIS,BIS compendium / BIS programme of work / BIS official capsule-course material,BIS-source identified; verify current Know Your Standard record before production,Active/Current candidate,IS 1489 (Part 1):2015 | Portland Pozzolana cement - Specification: Part 1 Flyash based | Civil Engineering / Cement | Product Specification,BIS Compendium of Cement Standards / BIS Civil Engineering material,https://www.bis.gov.in/compendium-of-indian-standards/?lang=en,,,,,,Blank lifecycle/certification fields must be resolved from the current BIS Know Your Standard record before production recommendation.
IS 1489 (Part 2):2015,Portland Pozzolana cement - Specification: Part 2 Calcined clay based,Civil Engineering / Cement,Product Specification,BIS,BIS compendium / BIS programme of work / BIS official capsule-course material,BIS-source identified; verify current Know Your Standard record before production,Active/Current candidate,IS 1489 (Part 2):2015 | Portland Pozzolana cement - Specification: Part 2 Calcined clay based | Civil Engineering / Cement | Product Specification,BIS Compendium of Cement Standards / BIS Civil Engineering material,https://www.bis.gov.in/compendium-of-indian-standards/?lang=en,,,,,,Blank lifecycle/certification fields must be resolved from the current BIS Know Your Standard record before production recommendation.
IS 3466:1988,Specification for masonry cement,Civil Engineering / Cement,Product Specification,BIS,BIS compendium / BIS programme of work / BIS official capsule-course material,BIS-source identified; verify current Know Your Standard record before production,Active/Current candidate,IS 3466:1988 | Specification for masonry cement | Civil Engineering / Cement | Product Specification,BIS Compendium of Cement Standards / BIS Civil Engineering material,https://www.bis.gov.in/compendium-of-indian-standards/?lang=en,,,,,,Blank lifecycle/certification fields must be resolved from the current BIS Know Your Standard record before production recommendation.
IS 6452:1989,Specification for high alumina cement for structural use,Civil Engineering / Cement,Product Specification,BIS,BIS compendium / BIS programme of work / BIS official capsule-course material,BIS-source identified; verify current Know Your Standard record before production,Active/Current candidate,IS 6452:1989 | Specification for high alumina cement for structural use | Civil Engineering / Cement | Product Specification,BIS Compendium of Cement Standards / BIS Civil Engineering material,https://www.bis.gov.in/compendium-of-indian-standards/?lang=en,,,,,,Blank lifecycle/certification fields must be resolved from the current BIS Know Your Standard record before production recommendation.
IS 6909:1990,Specification for supersulphated cement,Civil Engineering / Cement,Product Specification,BIS,BIS compendium / BIS programme of work / BIS official capsule-course material,BIS-source identified; verify current Know Your Standard record before production,Active/Current candidate,IS 6909:1990 | Specification for supersulphated cement | Civil Engineering / Cement | Product Specification,BIS Compendium of Cement Standards / BIS Civil Engineering material,https://www.bis.gov.in/compendium-of-indian-standards/?lang=en,,,,,,Blank lifecycle/certification fields must be resolved from the current BIS Know Your Standard record before production recommendation.
IS 8041:1990,Specification for rapid hardening Portland cement,Civil Engineering / Cement,Product Specification,BIS,BIS compendium / BIS programme of work / BIS official capsule-course material,BIS-source identified; verify current Know Your Standard record before production,Active/Current candidate,IS 8041:1990 | Specification for rapid hardening Portland cement | Civil Engineering / Cement | Product Specification,BIS Compendium of Cement Standards / BIS Civil Engineering material,https://www.bis.gov.in/compendium-of-indian-standards/?lang=en,,,,,,Blank lifecycle/certification fields must be resolved from the current BIS Know Your Standard record before production recommendation.
IS 8042:2015,White Portland cement - Specification,Civil Engineering / Cement,Product Specification,BIS,BIS compendium / BIS programme of work / BIS official capsule-course material,BIS-source identified; verify current Know Your Standard record before production,Active/Current candidate,IS 8042:2015 | White Portland cement - Specification | Civil Engineering / Cement | Product Specification,BIS Compendium of Cement Standards / BIS Civil Engineering material,https://www.bis.gov.in/compendium-of-indian-standards/?lang=en,,,,,,Blank lifecycle/certification fields must be resolved from the current BIS Know Your Standard record before production recommendation.
IS 8043:1991,Specification for hydrophobic Portland cement,Civil Engineering / Cement,Product Specification,BIS,BIS compendium / BIS programme of work / BIS official capsule-course material,BIS-source identified; verify current Know Your Standard record before production,Active/Current candidate,IS 8043:1991 | Specification for hydrophobic Portland cement | Civil Engineering / Cement | Product Specification,BIS Compendium of Cement Standards / BIS Civil Engineering material,https://www.bis.gov.in/compendium-of-indian-standards/?lang=en,,,,,,Blank lifecycle/certification fields must be resolved from the current BIS Know Your Standard record before production recommendation.
